Epoch,Samples,Mean CER,Mean CER (Norm),Mean WER,Mean WER (Norm),Mean BLEU,Mean BLEU (Norm)
222,256,0.67578,0.16994,0.17578,0.17578,0.91992,0.91992
223,256,0.35938,0.08993,0.09375,0.09375,0.96255,0.96255
224,256,1.50391,0.37379,0.39453,0.39453,0.83427,0.83427
225,256,0.43750,0.10980,0.14844,0.14844,0.95478,0.95478
226,256,0.36719,0.09252,0.10156,0.10156,0.96114,0.96114
227,256,1.57422,0.39862,0.39844,0.39844,0.81604,0.81604
228,256,0.37891,0.09594,0.10156,0.10156,0.96288,0.96288
229,256,0.48047,0.12035,0.14453,0.14453,0.95719,0.95719
230,256,0.72266,0.18173,0.19531,0.19531,0.91781,0.91781
231,256,0.31641,0.07918,0.07812,0.07812,0.97023,0.97023
232,256,1.41406,0.35146,0.37109,0.37109,0.84927,0.84927
233,256,0.42188,0.10588,0.12109,0.12109,0.95448,0.95448
234,256,0.36719,0.09252,0.10938,0.10938,0.96562,0.96562
235,256,1.49609,0.37883,0.38281,0.38281,0.82416,0.82416
236,256,0.23047,0.05836,0.06250,0.06250,0.97608,0.97608
237,256,0.55078,0.13796,0.16797,0.16797,0.93931,0.93931
238,256,0.62109,0.15619,0.16797,0.16797,0.92898,0.92898
239,256,0.34766,0.08700,0.08984,0.08984,0.96537,0.96537
240,256,1.52734,0.37961,0.40234,0.40234,0.81494,0.81494
241,256,0.50781,0.12745,0.15625,0.15625,0.94686,0.94686
242,256,0.40234,0.10138,0.11328,0.11328,0.94913,0.94913
243,256,1.52734,0.38675,0.40234,0.40234,0.80622,0.80622
244,256,0.40234,0.10188,0.11328,0.11328,0.93332,0.93332
245,256,0.57812,0.14481,0.17188,0.17188,0.94164,0.94164
246,256,0.87500,0.22004,0.23047,0.23047,0.90379,0.90379
247,256,0.36719,0.09189,0.09766,0.09766,0.95035,0.95035
248,256,1.62891,0.40485,0.43359,0.43359,0.81067,0.81067
249,256,0.29297,0.07353,0.08594,0.08594,0.96572,0.96572
250,256,0.39062,0.09843,0.11328,0.11328,0.95727,0.95727
251,256,1.56250,0.39565,0.40625,0.40625,0.81197,0.81197
252,256,0.44141,0.11177,0.12109,0.12109,0.93335,0.93335
253,256,0.44141,0.11057,0.13281,0.13281,0.95829,0.95829
254,256,0.92188,0.23183,0.24609,0.24609,0.89019,0.89019
255,256,0.26172,0.06549,0.07031,0.07031,0.97491,0.97491
256,256,1.43359,0.35631,0.37891,0.37891,0.83575,0.83575
257,256,0.39062,0.09804,0.11328,0.11328,0.95483,0.95483
258,256,0.23828,0.06004,0.07422,0.07422,0.97329,0.97329
259,256,1.58594,0.40158,0.40234,0.40234,0.80077,0.80077
260,256,0.44141,0.11177,0.12500,0.12500,0.95519,0.95519
261,256,0.57422,0.14384,0.16406,0.16406,0.93747,0.93747
262,256,0.80469,0.20236,0.21094,0.21094,0.90880,0.90880
263,256,0.24219,0.06061,0.06641,0.06641,0.97481,0.97481
264,256,1.56250,0.38835,0.41406,0.41406,0.82878,0.82878
265,256,0.44531,0.11176,0.12500,0.12500,0.94881,0.94881
266,256,0.53516,0.13484,0.14062,0.14062,0.92627,0.92627
267,256,1.37500,0.34817,0.35938,0.35938,0.83755,0.83755
268,256,0.34375,0.08704,0.09375,0.09375,0.96633,0.96633
269,256,0.60547,0.15166,0.17188,0.17188,0.93981,0.93981
